base_country,to_country,distance,distance_units,transaction_cost
AE,RO,2238.1514310572247,4.0,14.0
AE,RS,2337.8212073127156,5.0,15.0
AE,RU,3561.1127746517827,7.0,17.0
AE,RW,2381.196791596286,5.0,15.0
AE,SA,555.7783372518081,1.0,11.0
AE,SB,7510.531093461233,15.0,25.0
AE,SC,1944.939117857676,4.0,14.0
AE,SD,1710.924030020263,3.0,13.0
AE,SE,3046.909942034613,6.0,16.0
AE,SG,3674.041721046146,7.0,17.0
AE,SH,5396.81251036368,11.0,21.0
AE,SI,2665.7167126784047,5.0,15.0
AE,SJ,3869.4259137940594,8.0,18.0
AE,SK,2547.3954928987882,5.0,15.0
AE,SL,4445.500504953857,9.0,19.0
AE,SM,2729.7467252575225,5.0,15.0
AE,SN,4467.590881400177,9.0,19.0
AE,SO,1361.3903441749396,3.0,13.0
AE,SR,7358.6299176704415,15.0,25.0
AE,ST,3549.1280685118786,7.0,17.0
AE,SV,8838.109600250715,18.0,28.0
AE,SY,1189.7467716615533,2.0,12.0
AE,SZ,3760.9801504675675,8.0,18.0
AE,TC,7633.612091257197,15.0,25.0
AE,TD,2346.8077874733253,5.0,15.0
AE,TF,5113.3630191857355,10.0,20.0
AE,TG,3644.802572482704,7.0,17.0
AE,TH,3098.498255731363,6.0,16.0
AE,TJ,1477.8680647889275,3.0,13.0
AE,TK,9260.105202549892,19.0,29.0
AE,TL,5337.7018794538935,11.0,21.0
AE,TM,1125.1768682603683,2.0,12.0
AE,TN,2759.6176711938265,6.0,16.0
AE,TO,9312.674276968335,19.0,29.0
AE,TR,1530.8184653949775,3.0,13.0
AE,TT,7459.13405023766,15.0,25.0
AE,TV,8551.151030992696,17.0,27.0
AE,TW,4206.817110561686,8.0,18.0
AE,TZ,2423.768337699563,5.0,15.0
AE,UA,2123.897980507518,4.0,14.0
AE,UG,2099.107082170553,4.0,14.0
AE,US,7810.085920252085,16.0,26.0
AE,UY,8170.8240224525625,16.0,26.0
AE,UZ,1386.9579205338716,3.0,13.0
AE,VA,2690.365527661842,5.0,15.0
AE,VC,7385.099852310596,15.0,25.0
AE,VE,7923.215765474779,16.0,26.0
AE,VG,7381.613205223651,15.0,25.0
AE,VI,7398.93379137221,15.0,25.0
AE,VN,3599.4722939401677,7.0,17.0
AE,VU,8078.151842308186,16.0,26.0
AE,WF,9047.940523955527,18.0,28.0
AE,WS,9367.525769197055,19.0,29.0
AE,XK,2300.211207238744,5.0,15.0
AE,YE,645.0600861612842,1.0,11.0
AE,YT,2572.5823310354867,5.0,15.0
AE,ZA,4255.380408601645,9.0,19.0
AE,ZM,3077.0379682455227,6.0,16.0
AE,ZW,3371.8925462758866,7.0,17.0
AF,AD,3545.373547643673,7.0,17.0
AF,AE,1108.7402894904985,2.0,12.0
AF,AG,7594.94782442845,15.0,25.0
AF,AI,7592.290260572788,15.0,25.0
AF,AL,2618.543297751731,5.0,15.0
AF,AM,1316.3643840584964,3.0,13.0
AF,AN,8166.771395636843,16.0,26.0
AF,AO,4518.067480784847,9.0,19.0
AF,AQ,8110.8868645965495,16.0,26.0
AF,AR,9736.013253558405,19.0,29.0
AF,AS,8598.142841864394,17.0,27.0
AF,AT,2874.9022609744343,6.0,16.0
AF,AU,5956.994360408239,12.0,22.0
AF,AW,8190.364052583116,16.0,26.0
AF,AZ,1186.8947428623367,2.0,12.0
AF,BA,2732.144811211775,5.0,15.0
AF,BB,7682.734454450536,15.0,25.0
AF,BD,1538.2711029046384,3.0,13.0
AF,BE,3320.2935809901874,7.0,17.0
AF,BF,4566.319153679675,9.0,19.0
AF,BG,2341.4834821389545,5.0,15.0
AF,BH,1160.0755843315933,2.0,12.0
AF,BI,3562.7763139077047,7.0,17.0
AF,BJ,4453.555200429829,9.0,19.0
AF,BM,6914.148195937229,14.0,24.0
AF,BN,3631.2233628857216,7.0,17.0
AF,BO,9190.345469328244,18.0,28.0
AF,BR,8452.811254641101,17.0,27.0
AF,BS,7762.770855036165,16.0,26.0
AF,BT,1417.1657630868563,3.0,13.0
AF,BV,7197.276567972843,14.0,24.0
AF,BW,4807.434393277421,10.0,20.0
AF,BY,2359.965978322275,5.0,15.0
AF,BZ,8572.448232472176,17.0,27.0
AF,CA,6203.76918661392,12.0,22.0
AF,CC,3717.4058820510863,7.0,17.0
AF,CD,3978.655053570244,8.0,18.0
AF,CF,3526.756925189046,7.0,17.0
AF,CG,4100.25410411436,8.0,18.0
AF,CH,3174.1730127330147,6.0,16.0
AF,CI,4969.82925496248,10.0,20.0
AF,CK,9427.863474760594,19.0,29.0
AF,CL,10138.670239090592,20.0,30.0
AF,CM,3963.222241971455,8.0,18.0
AF,CN,2059.82691324889,4.0,14.0
AF,CO,8801.879382729945,18.0,28.0
AF,CR,8884.89288393059,18.0,28.0
AF,CU,7983.153965015249,16.0,26.0
AF,CV,5702.585460032779,11.0,21.0
AF,CX,3951.4777242370365,8.0,18.0
AF,CY,1943.276690456877,4.0,14.0
AF,CZ,2834.931816435547,6.0,16.0
AF,DE,3057.539398424288,6.0,16.0
AF,DJ,2199.0830406823834,4.0,14.0
AF,DK,3109.6116804390203,6.0,16.0
AF,DM,7658.465942597909,15.0,25.0
AF,DO,7862.049296417059,16.0,26.0
AF,DZ,3866.978943063647,8.0,18.0
AF,EC,9312.605777013794,19.0,29.0
AF,EE,2585.174919390155,5.0,15.0
AF,EG,2241.6097939741708,4.0,14.0
AF,EH,4791.726957761889,10.0,20.0
AF,ER,2168.949720300182,4.0,14.0
AF,ES,3850.862718154218,8.0,18.0
AF,ET,2432.324618818386,5.0,15.0
AF,FI,2657.9006715212226,5.0,15.0
AF,FJ,8081.125609128227,16.0,26.0
AF,FK,9570.813369081867,19.0,29.0
AF,FM,5523.320414819992,11.0,21.0
AF,FO,3690.105661954343,7.0,17.0
AF,FR,3462.894714367042,7.0,17.0
AF,GA,4349.110241014586,9.0,19.0
AF,GB,3612.3697394602905,7.0,17.0
AF,GD,7826.171039659279,16.0,26.0
AF,GE,1438.0185708018757,3.0,13.0
AF,GF,7787.000430239852,16.0,26.0
AF,GG,3640.5506970511724,7.0,17.0
AF,GH,4695.759919070385,9.0,19.0
AF,GI,4032.545781676341,8.0,18.0
AF,GL,4416.156093394152,9.0,19.0
AF,GM,5308.4016677086975,11.0,21.0
AF,GN,5117.207295353451,10.0,20.0
AF,GP,7610.416850103064,15.0,25.0
AF,GQ,4315.580799389089,9.0,19.0
AF,GR,2545.82066878054,5.0,15.0
AF,GS,8635.416009393355,17.0,27.0
AF,GT,8707.049259409456,17.0,27.0
AF,GU,4969.926601212705,10.0,20.0
AF,GW,5361.715538471137,11.0,21.0
AF,GY,8048.6322748150715,16.0,26.0
AF,GZ,1942.850341875429,4.0,14.0
AF,HK,2910.447590804385,6.0,16.0
AF,HM,6022.665298624583,12.0,22.0
AF,HN,8633.425507219066,17.0,27.0
AF,HR,2849.788304941973,6.0,16.0
AF,HT,7931.994907189411,16.0,26.0
AF,HU,2642.720199404036,5.0,15.0
AF,ID,3834.9089549347223,8.0,18.0
AF,IE,3825.516639279325,8.0,18.0
AF,IL,1917.156017798956,4.0,14.0
AF,IM,3667.0369224737574,7.0,17.0
AF,IN,1150.5012655220673,2.0,12.0
AF,IO,2796.559093347735,6.0,16.0
AF,IQ,1380.9791629704416,3.0,13.0
AF,IR,816.8663754075546,2.0,12.0
AF,IS,4026.281871933617,8.0,18.0
AF,IT,3003.4824618616058,6.0,16.0
AF,JE,3623.737459287248,7.0,17.0
